,icao24,start,end
730,c07efb,3800,674127
731,0ac365,3801,585029
732,7c6b36,3803,1143599
733,a25c6e,3806,838934
734,ac9c37,3811,950894
735,abe124,3812,621003
736,a417c9,3825,24588
737,06a2e5,3828,1345518
738,a9410c,3845,38358
739,7808af,3846,697851
740,a04dbe,3858,203088
741,a41412,3861,88800
742,a14104,3872,446964
743,a12ff9,3874,1165830
744,e4812f,3895,1546251
745,ab313c,3907,987939
746,0d0752,3913,988347
747,a98f2d,3917,432604
748,4d0102,3922,590556
749,aa2bc2,3926,577614
750,789232,3927,1518733
751,a03ce6,3932,417350
752,c03c0c,3936,416356
753,a506d9,3940,1481871
754,a506d9,1497788,1503583
755,a506d9,1560878,1562673
756,a359e6,3966,471275
757,a8e2d6,3970,279651
758,a48315,3983,1362929
759,a03f84,3985,1675549
760,abc0c1,3987,544899
761,a3d425,3991,1017388
762,a445f0,3992,923341
763,a7302f,3993,750343
764,a7302f,1561766,1672553
765,a915cf,3998,759071
766,a51968,4000,487220
767,a8a3ce,4005,899166
768,abe450,4017,562335
769,aa9e6d,4033,1701743
770,a21c29,4042,1040927
771,a92ee2,4049,117651
772,7c7b65,4056,1590151
773,7c6db3,4059,638824
774,add0e1,4068,684016
775,a8d5a4,4077,409692
776,a94b72,4080,1675217
777,abd3c7,4082,1047593
778,490035,4085,818435
779,490035,824438,847634
780,490035,854226,951614
781,490035,966097,994436
782,490035,996212,1011065
783,490035,1017425,1025002
784,490035,1025691,1040056
785,490035,1041365,1047296
786,490035,1055503,1107004
787,490035,1113311,1114231
788,490035,1121622,1128770
789,490035,1142401,1157874
790,490035,1166098,1171374
791,490035,1179409,1187097
792,490035,1188035,1382557
793,490035,1388626,1490279
794,490035,1496895,1502621
795,490035,1511442,1517328
796,490035,1518727,1532047
797,490035,1532872,1540080
798,490035,1548454,1554375
799,490035,1562470,1568332
800,490035,1576689,1582249
801,490035,1590666,1603863
802,490035,1610070,1618875
803,490035,1625555,1647395
804,490035,1653671,1659442
805,490035,1660002,1672402
806,490035,1675390,1686464
807,490035,1689304,1700314
808,490035,1703113,1708475
809,490035,1714339,1721836
810,490035,1729421,1756525
811,3c1ff6,4092,1389165
812,3c43a0,4227,9872
813,3c43a0,1374153,1674435
814,ae58eb,4251,1576348
815,a07fa6,4442,1531709
816,a1d4fe,4474,943793
817,000000,4493,45301
818,000000,51676,101668
819,000000,103429,118993
820,a7e12d,5039,787185
821,42432d,5763,11680
822,3412c4,5879,11490
823,aa9071,6047,1087346
824,a29aff,6147,13432
825,a5106e,6218,975425
826,4bb065,6272,885837
827,abbd0a,6321,212521
828,abbd0a,219596,586999
829,a238dc,6338,1597721
830,43bf70,1093193,1094501
831,a1f94c,6727,1145468
832,a65560,6963,1406065
833,aa5a56,7440,64268
834,a01ca5,7441,1199616
835,ac4c7d,7697,664656
836,896307,8045,1415639
837,0d0867,8099,634874
838,7c1172,8128,399324
839,a74f33,9265,581323
840,3c43a6,1249110,1280492
841,3c43a6,1479826,1515876
842,a099a7,115924,123706
843,a01c2a,8972,1134737
844,a34f7f,9266,762906
845,a63a5c,9464,642136
846,a153c1,10112,1375252
847,a0144e,10252,1531181
848,a95d8f,10724,248475
849,a95d8f,456002,569679
850,a95d8f,576734,606518
851,a05ad4,11094,44928
852,a4c48f,11250,1196957
853,06a053,11554,1268959
854,a0b076,11660,1413928
855,aacf19,12391,1386761
856,a26fc9,12563,1042467
857,040048,12659,1110173
858,a3cf6d,13282,19099
859,a8d5bd,14117,1130381
860,a45f8e,14387,20425
861,abc201,360909,368814
862,abc201,461154,482719
863,abc201,867713,875346
864,a87432,15078,108005
865,a672d6,16122,628865
866,abe147,17063,17300
867,a58c2e,20067,1406261
868,a06db4,21252,883550
869,a5042b,23200,936451
870,a2479f,24159,599684
871,a20251,24541,605940
872,a33325,24667,290521
873,a209c0,40328,1378391
874,a8b81e,27045,372514
875,89616d,28084,1707316
876,a3f8b8,28343,92268
877,a9c18b,29510,1402855
878,a50cf0,29971,43438
879,a448d5,30331,1171599
880,7c1469,88461,156566
881,ad4873,32370,52935
882,ada521,33480,266798
883,344115,33903,39641
884,a82908,34596,791973
885,a82908,792652,808896
886,a82908,1452885,1524609
887,a340d2,337236,360930
888,a0cbaf,35777,1522977
889,a81645,38087,1439592
890,ab417a,38495,1240941
891,a2be06,41421,382132
892,a37ab5,42091,416018
893,a06e11,42340,665034
894,7c07cd,45198,454685
895,ae1456,47591,709185
896,abdcbe,47674,811318
897,abdcbe,924141,930578
898,a06d88,48286,844448
899,a4c19a,49982,498040
900,a4c19a,522359,1134396
901,a4c19a,1146937,1381153
902,abbd8d,50466,445747
903,a57361,51834,713004
904,ad116c,51860,1222954
905,a3ff26,52024,57568
906,ac1d74,54949,1562941
907,a10fe8,56886,1365223
908,abe1c2,57476,1616329
909,ad19f2,58907,1545377
910,a3486c,59677,280228
911,ab03a4,61405,75947
912,7c3026,62509,64994
913,a1bed2,64700,300235
914,a57a84,65057,904427
915,a80e4e,65621,73003
916,841ff4,69020,1711953
917,a12d17,70577,1365676
918,a12d17,1379500,1465594
919,424484,218190,1061527
920,780250,72206,584760
921,acaf83,73005,532189
922,a86266,74250,515929
923,a2b1ab,75056,1611762
924,a09e52,75722,329367
925,ae085b,86944,1368539
926,8963d6,87042,470658
927,89611e,87223,386443
928,89611e,424129,425134
929,500194,87716,539402
930,896f17,1702420,1708925
931,0ac9e1,89384,1554367
932,0ac9e1,1560058,1616748
933,896215,283122,289276
934,896215,343675,350623
935,adee4e,90949,1012996
936,7c77fe,91164,97258
937,ae08cf,91232,983646
938,a082ac,161308,746348
939,86d607,230152,232112
940,86d607,299891,1544888
941,ad97dd,92001,1292843
942,7c38fd,92037,136913
943,a1a46d,92179,461303
944,ac760d,93877,100972
945,abad6c,94136,108689
946,a6d7c9,94436,1332522
947,c027d7,94557,554278
948,86e474,94721,569213
949,894090,1469629,1472001
950,a55736,98782,858795
951,a35de5,99836,777621
952,add303,100611,1096589
953,a5f4be,100902,215614
954,a7f445,101920,104342
955,3cd568,102258,1238300
956,ac7f80,102308,1150673
957,ac9abc,104724,1586027
958,a85931,105952,1298435
959,a9827f,106039,142229
960,a2bb10,107677,551974
961,c005b9,107685,1170133
962,ac2fff,107885,1185319
963,abd90c,111357,873790
964,a107ee,120886,1146237
965,4952c3,121707,537747
966,ad08d7,123983,1408415
967,a69c9d,128108,945704
968,a32800,128679,135712
969,45fe3e,129595,655289
970,780726,130872,528274
971,a91d0f,132928,440903
972,a4417d,133163,1539197
973,a8b56f,134200,1303912
974,7c16d4,134674,225172
975,a0e69b,137521,139530
976,a0e69b,176467,461131
977,896110,140840,255513
978,846516,140954,1686347
979,a8c094,145717,1265921
980,a52e54,145864,1609906
981,ab5975,1039534,1383501
982,a19dd0,147855,196378
983,89644c,148473,756532
984,aa568f,151674,1145291
985,ac21c3,154253,167938
986,abfcb6,179964,186432
987,ada336,157358,497002
988,a51ed1,165833,887877
989,89620a,163645,682597
990,89620a,787349,788735
991,a7a60e,164193,171716
992,4844a2,164482,1758486
993,a1701b,164914,1702319
994,a809d3,166011,174727
995,4bb184,780805,797489
996,4bb184,1123762,1153044
997,a10d56,166650,173138
998,789219,167804,1257918
999,a94b6b,171173,1331389
1000,a96172,171697,210908
1001,ac8e1a,175909,1145629
1002,aba9e7,176452,954783
1003,aba9e7,957693,1103750
1004,a8304f,181913,1219625
1005,a66355,182977,445188
1006,a331bd,183016,474679
1007,a3b028,188585,1443059
1008,ad6c3b,189085,1570039
1009,0d0a04,192972,874030
1010,aaaf71,196379,208971
1011,76cd03,196764,252834
1012,a0327f,197707,397862
1013,a30bce,201772,1645754
1014,a03f48,204004,1234000
1015,a7e20a,204045,234469
1016,a1d44e,204471,250878
1017,780487,204603,442800
1018,ab14d9,206581,235207
1019,aa06c2,206869,277913
1020,4243e3,208841,982600
1021,ac828f,210228,735772
1022,344056,210707,224278
1023,a3ccea,218911,1131149
1024,a8a64b,218995,1198590
1025,a6ce36,219069,1577196
1026,8963d4,220536,327590
1027,e024cf,224740,712251
1028,a7df61,225352,239343
1029,343688,226514,239504
1030,a4f7cb,227908,234489
1031,7811f7,227938,873108
1032,7811f7,879520,915767
1033,781650,228216,843050
1034,a1aaae,233290,1729355
1035,c82009,236986,1486156
1036,a07311,239653,1383270
1037,ab3655,326364,341456
1038,7c5744,248703,332627
1039,789217,249418,1316858
1040,a7ade5,249732,1139356
1041,7c6d2f,436407,1254068
1042,896453,259819,495385
1043,484211,535478,537087
1044,0d0c86,262914,612725
1045,0d0c86,619867,755203
1046,a4d621,265456,1420933
1047,7c627f,265720,1711007
1048,acf5bb,267914,1471638
1049,0d0997,268327,327552
1050,0d0997,421421,1319793
1051,acf198,272405,660465
1052,a977a2,273326,1267922
1053,ace7e7,277814,1459130
1054,ab04f3,278552,829168
1055,76cccb,280670,397406
1056,76cccb,405941,968692
1057,abb7f7,282852,1042062
1058,a7cb14,285043,957337
1059,ac21e4,505579,807967
1060,0d07f7,285582,559660
1061,0d07f7,620432,821122
1062,a54dad,287651,1503733
1063,a04b92,289498,647169
1064,a04b92,648531,1463584
1065,ac9723,373228,1122500
1066,a1adab,294704,1518099
1067,a6c58d,304304,855077
1068,e4962d,306182,1689581
1069,abae8f,309765,1729298
1070,a1388c,314339,1370623
1071,7c6d9a,316634,1157121
1072,a327a9,316872,1267151
1073,a32ad5,318493,996685
1074,a7db08,412883,418256
1075,aa9b82,323110,323857
1076,aa9b82,490091,491937
1077,76cda6,323233,1307004
1078,a2d359,323417,823948
1079,a0e940,323854,1111074
1080,a5fef4,327175,1086796
1081,a5fef4,1116672,1123420
1082,a5db4e,328586,335519
1083,a770a2,329365,336299
1084,a5d54e,332211,1353418
1085,c817a6,333118,922998
1086,06a103,339879,1623834
1087,0d0b34,340023,941065
1088,4a7c0b,402191,408158
1089,ae0384,1314986,1321622
1090,ae0384,1600908,1635299
1091,8880f2,353256,748229
1092,8880f2,755094,1178052
1093,a43458,354266,400258
1094,496c25,354629,438249
1095,86e7bc,357523,466473
1096,154ca3,359663,894577
1097,8963b5,445330,453010
1098,a03332,370899,1496674
1099,76aa6c,379473,1310133
1100,ac08f5,379677,936753
1101,ac1099,380897,774240
1102,0200fb,386932,1686756
1103,c81ad5,388143,782097
1104,abef16,393406,454416
1105,abd155,398604,1293769
1106,ab9bb6,399341,969776
1107,ac97e1,402792,1327333
1108,a60fb6,409596,410185
1109,7c6b31,417877,719446
1110,ac0094,419055,932203
1111,a7c68b,419061,909133
1112,c05e9b,428351,458491
1113,c05e9b,1116903,1167720
1114,c05e9b,1493019,1498028
1115,7c3321,428558,1265728
1116,7c3321,1272306,1494064
1117,7c5b59,436189,1240850
1118,7c5b59,1298656,1299196
1119,a09702,437463,852851
1120,acf686,672741,1573548
1121,a20d1c,438167,476174
1122,71bf44,440263,817198
1123,ab6afa,445515,1616178
1124,ab4383,445978,1401318
1125,8963b0,450788,1477697
1126,a5b3ad,455678,493660
1127,7c5959,456584,1325842
1128,7c5959,1347172,1353993
1129,c07f67,457525,1282734
1130,ac3183,461130,815373
1131,ad646e,967244,1054493
1132,a5b311,463695,1526657
1133,a0ba96,464600,1723458
1134,a28812,812091,813871
1135,abd096,471595,499558
1136,a613e7,477791,1083879
1137,a449af,478571,1503297
1138,a6b55a,478666,1462929
1139,a339b1,486568,530020
1140,a339b1,638398,729172
1141,e491a2,487658,495454
1142,a2d710,488256,975569
1143,ad00e0,489136,1586283
1144,a78cfc,489790,913053
1145,a62e03,490138,1309769
1146,0d09b2,495256,1570621
1147,aa3cbf,501959,1179581
1148,a52c00,507085,1464761
1149,4000fb,510305,1021558
1150,344417,515132,517580
1151,7811ea,519164,1145416
1152,a6c6cb,520334,993063
1153,a6c6cb,1001950,1242890
1154,a876d7,520470,806411
1155,e48dad,608466,1756807
1156,c055c6,532417,1590511
1157,a0822c,807599,814868
1158,a569c9,540116,1497916
1159,a7eef3,549800,722227
1160,04c15a,550137,1243081
1161,89913a,563897,1218722
1162,e495c2,564259,1718097
1163,e495c2,1737896,1740066
1164,e495c2,1745568,1752377
1165,a76f43,567447,573846
1166,a76f43,673420,679237
1167,a78a52,568106,1552692
1168,abb205,568650,1071271
1169,a81815,674741,681482
1170,0ac9c2,576427,666967
1171,a43b91,577766,1120784
1172,a3e70e,582343,1358880
1173,a4b065,582905,1401679
1174,ad127f,585699,1189167
1175,ad127f,1218579,1491616
1176,ad3579,1268699,1291907
1177,a1bea8,590081,1452242
1178,a63bf4,591051,1731029
1179,8681b3,597777,1721351
1180,01022b,602345,617900
1181,e8041f,610473,1174834
1182,a62695,613309,1058616
1183,aabd56,613932,1331123
1184,09601b,616072,738160
1185,adca15,624444,1204895
1186,896512,632256,1212125
1187,a030d4,633555,1542420
1188,a858f3,639301,715744
1189,738444,648194,1356920
1190,71c095,652099,1041424
1191,a2b182,655264,1306347
1192,a517a1,655401,745851
1193,a0464a,664544,762990
1194,acca73,667808,803628
1195,aa7b40,673941,1322325
1196,a0d84a,764531,771636
1197,a0d84a,773288,779319
1198,a0d84a,794287,801714
1199,a0d84a,802648,809881
1200,a0d84a,839520,846952
1201,a0d84a,855219,863129
1202,a0d84a,868838,876257
1203,a0d84a,892704,906195
1204,a0d84a,913310,920967
1205,a0d84a,935876,944218
1206,a0d84a,949716,951625
1207,a0d84a,958373,974061
1208,a0d84a,988192,1002510
1209,a0d84a,1012379,1017870
1210,a0d84a,1026182,1038748
1211,a0d84a,1040307,1054884
1212,a0d84a,1061555,1070032
1213,a0d84a,1158003,1158259
1214,a0d84a,1281883,1287887
1215,a0d84a,1374551,1376362
1216,a0d84a,1403291,1404331
1217,a0d84a,1419998,1424806
1218,a0d84a,1460017,1461971
1219,a0736f,678826,939503
1220,a81205,683804,773436
1221,a81205,913470,921364
1222,7c801c,684403,1190028
1223,a451d0,688110,1236072
1224,acaec8,689129,1561505
1225,c05a23,693538,705828
1226,7813ff,704306,757175
1227,a7bc58,712042,1618869
1228,a8e6f2,717201,724870
1229,42441b,722424,1527002
1230,a88df0,727858,1317273
1231,c08268,729482,1625910
1232,a3361e,734967,786750
1233,a451cb,735504,1454290
1234,a57d56,735514,1561460
1235,7808d1,737619,1197310
1236,495305,740576,1045163
1237,495305,1052542,1082070
1238,841ae0,755844,852808
1239,aba324,756188,1652354
1240,750263,764668,788768
1241,71bf88,769547,1459278
1242,7807ff,770662,896468
1243,7c7798,773293,1736150
1244,7819f0,773150,1418113
1245,342107,773219,863721
1246,a6c12f,775351,1498112
1247,7c72d4,775767,1123262
1248,a2e07c,787860,832298
1249,ac671b,790001,1703505
1250,a86c31,799843,821937
1251,c05ed9,800826,1179706
1252,7c4a41,803201,1411578
1253,ab772d,816887,944128
1254,abc07b,817525,824583
1255,abc07b,936547,995112
1256,a958d2,827445,1477635
1257,a471ec,830891,833938
1258,a471ec,1055282,1062043
1259,ae4a28,835020,858918
1260,a3e346,837843,1263950
1261,7cc3fa,839419,1496991
1262,71c334,839793,1545860
1263,8a07c9,845099,1650796
1264,89616f,848869,1417301
1265,ac30cd,851976,1430138
1266,a54f28,853984,951202
1267,7c5d62,867961,1190800
1268,c8809d,872611,1745750
1269,7816e5,879090,1255701
1270,a22e7f,884257,1106356
1271,0d0ad1,885627,1758916
1272,a2c087,890793,1275408
1273,a6c7b2,917143,1072548
1274,aced1c,917487,1427372
1275,a8def1,950725,951864
1276,ac9c6d,921025,937724
1277,ac9c6d,943424,1165226
1278,a95173,922246,1309952
1279,c04205,925861,1649408
1280,a43694,926400,1321638
1281,a3ac7a,927926,1565296
1282,3c5422,1062327,1532470
1283,8964e3,938995,1385727
1284,a420a4,944839,992435
1285,a29a37,945833,946869
1286,a29a37,1051491,1066002
1287,4244a3,952029,965088
1288,aa8987,952905,1084896
1289,a2e9a3,970546,1707031
1290,888141,982151,1068203
1291,ab6077,985865,1234801
1292,89914f,986475,1236662
1293,a07a76,990584,1634075
1294,a4eca6,993218,1000290
1295,a1d52a,996017,1517271
1296,abd559,1004265,1022074
1297,780e0e,1006522,1724883
1298,acdd74,1029817,1609804
1299,7cf853,1034691,1174860
1300,7cf853,1182099,1284249
1301,ab97c1,1037647,1693527
1302,71c243,1038884,1173690
1303,896459,1039561,1468358
1304,440607,1044330,1045643
1305,440607,1257451,1263955
1306,440607,1294268,1301266
1307,0d0a13,1058058,1138059
1308,0d0cfd,1071122,1097622
1309,a97742,1079857,1583757
1310,71bf22,1091777,1568200
1311,71bf22,1574237,1644793
1312,accb65,1099728,1194239
1313,a5dc39,1104619,1301824
1314,0c204f,1115648,1746081
1315,a71b11,1124139,1654176
1316,a6a414,1134418,1402454
1317,ab19df,1135125,1144504
1318,4d229a,1147979,1176374
1319,a65351,1152826,1751398
1320,aa73a0,1153133,1276632
1321,aa73a0,1284095,1285371
1322,406ea3,1239167,1247379
1323,0d08ee,1166987,1383699
1324,c8216e,1167967,1443381
1325,a3ad47,1210477,1442977
1326,ac6364,1210690,1297126
1327,896218,1215876,1618809
1328,89610e,1216026,1617698
1329,0d0a25,1217878,1490811
1330,800d61,1228664,1608323
1331,ad3098,1336260,1344660
1332,c038b5,1232391,1687013
1333,a6d00b,1238322,1539336
1334,8990e6,1246438,1742562
1335,888065,1248141,1384078
1336,78116f,1255391,1443670
1337,a9db7c,1257650,1308396
1338,a3e122,1259051,1448253
1339,04c147,1259899,1617303
1340,452067,1259948,1359758
1341,a098cc,1263697,1494193
1342,ab214d,1301560,1307811
1343,a29e5c,1421789,1592216
1344,ab30e5,1308980,1314974
1345,896172,1309053,1421918
1346,ac747b,1310497,1624500
1347,a34fae,1662403,1681654
1348,a0e1f1,1330133,1344324
1349,a0e1f1,1402055,1566850
1350,a5b764,1331662,1360040
1351,780b60,1337947,1345261
1352,4d22d4,1341694,1343133
1353,4d22d4,1392260,1406472
1354,a12e36,1342953,1712407
1355,840d81,1369029,1375237
1356,a18021,1382129,1468389
1357,a019e6,1387131,1726706
1358,e495df,1388322,1419642
1359,a89915,1388548,1391012
1360,345543,1414665,1441230
1361,ab77b1,1429991,1705443
1362,e490b1,1441402,1449305
1363,42436b,1468411,1503771
1364,a866aa,1489838,1496693
1365,896178,1492167,1499455
1366,ab514b,1492713,1535957
1367,abefdd,1541976,1626640
1368,a8ee63,1550231,1552127
1369,a11ad4,1621942,1622771
1370,a836fb,1651070,1658067
1371,ab6cc9,1584720,1696295
1372,c87f00,1588941,1617542
1373,a78ffa,1600606,1606934
1374,71bf23,1613682,1724546
1375,a5f976,1645203,1658858
1376,89612c,1629832,1635421
1377,a2e806,1642396,1752895
1378,e492a6,1673922,1750638
1379,896f21,1703237,1714122
1380,a3ed69,1712824,1721232
1381,7bb057,1723016,1729881
